Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Dolphins,0,0,0,0,0,0,0,0,866,1977
Raiders,0,0,0,0,0,0,0,0,1030,1977
Rams,0,0,0,0,0,0,0,0,985,1977
Chiefs,0,0,0,0,0,0,0,0,878,1977
Colts,0,0,0,0,0,0,0,0,987,1977
Oilers,0,0,0,0,0,0,0,0,879,1977
Packers,0,0,0,0,0,0,0,0,828,1977
Lions,0,0,0,0,0,0,0,0,917,1977
Broncos,0,0,0,0,0,0,0,0,886,1977
Cowboys,0,0,0,0,0,0,0,0,969,1977
Browns,0,0,0,0,0,0,0,0,911,1977
Bengals,0,0,0,0,0,0,0,0,904,1977
Bears,0,0,0,0,0,0,0,0,930,1977
Bills,0,0,0,0,0,0,0,0,944,1977
Falcons,0,0,0,0,0,0,0,0,919,1977
Redskins,0,0,0,0,0,0,0,0,1021,1978
Buccaneers,0,0,0,0,0,0,0,0,962,1978
Seahawks,0,0,0,0,0,0,0,0,1072,1978
49ers,0,0,0,0,0,0,0,0,1062,1978
Chargers,0,0,0,0,0,0,0,0,1099,1978
Steelers,0,0,0,0,0,0,0,0,1046,1978
Cardinals,0,0,0,0,0,0,0,0,1084,1978
Eagles,0,0,0,0,0,0,0,0,1029,1978
Jets,0,0,0,0,0,0,0,0,993,1978
Giants,0,0,0,0,0,0,0,0,1000,1978
Saints,0,0,0,0,0,0,0,0,1028,1978
Patriots,0,0,0,0,0,0,0,0,1085,1978
Vikings,0,0,0,0,0,0,0,0,1127,1978
Dolphins,0,0,0,0,0,0,0,0,954,1978
Raiders,0,0,0,0,0,0,0,0,1049,1978
Rams,0,0,0,0,0,0,0,0,1109,1978
Chiefs,0,0,0,0,0,0,0,0,1054,1978
Colts,0,0,0,0,0,0,0,0,964,1978
Oilers,0,0,0,0,0,0,0,0,993,1978
Packers,0,0,0,0,0,0,0,0,944,1978
Lions,0,0,0,0,0,0,0,0,1001,1978
Broncos,0,0,0,0,0,0,0,0,1040,1978
Cowboys,0,0,0,0,0,0,0,0,1107,1978
Browns,0,0,0,0,0,0,0,0,1036,1978
Bengals,0,0,0,0,0,0,0,0,1034,1978
Bears,0,0,0,0,0,0,0,0,1020,1978
Bills,0,0,0,0,0,0,0,0,974,1978
Falcons,0,0,0,0,0,0,0,0,1038,1978
Redskins,0,0,0,0,0,0,0,0,1044,1979
Buccaneers,0,0,0,0,0,0,0,0,1055,1979
Seahawks,0,0,0,0,0,0,0,0,1046,1979
49ers,0,0,0,0,0,0,0,0,1099,1979
Chargers,0,0,0,0,0,0,0,0,1053,1979
Steelers,0,0,0,0,0,0,0,0,1080,1979
Cardinals,0,0,0,0,0,0,0,0,1097,1979
Eagles,0,0,0,0,0,0,0,0,1011,1979
Jets,0,0,0,0,0,0,0,0,1035,1979
Giants,0,0,0,0,0,0,0,0,958,1979
Saints,0,0,0,0,0,0,0,0,996,1979
Patriots,0,0,0,0,0,0,0,0,1128,1979
Vikings,0,0,0,0,0,0,0,0,1090,1979
Dolphins,0,0,0,0,0,0,0,0,1006,1979
Raiders,0,0,0,0,0,0,0,0,1040,1979
Rams,0,0,0,0,0,0,0,0,1087,1979
Chiefs,0,0,0,0,0,0,0,0,972,1979
Colts,0,0,0,0,0,0,0,0,1117,1979
Oilers,0,0,0,0,0,0,0,0,1034,1979
Packers,0,0,0,0,0,0,0,0,974,1979
Lions,0,0,0,0,0,0,0,0,944,1979
Broncos,0,0,0,0,0,0,0,0,1044,1979
Cowboys,0,0,0,0,0,0,0,0,1122,1979
Browns,0,0,0,0,0,0,0,0,1092,1979
Bengals,0,0,0,0,0,0,0,0,1049,1979
Bears,0,0,0,0,0,0,0,0,1031,1979
Bills,0,0,0,0,0,0,0,0,982,1979
Falcons,0,0,0,0,0,0,0,0,1033,1979
Redskins,0,0,0,0,0,0,0,0,1039,1980
Buccaneers,0,0,0,0,0,0,0,0,1031,1980
Seahawks,0,0,0,0,0,0,0,0,1024,1980
49ers,0,0,0,0,0,0,0,0,1042,1980
Chargers,0,0,0,0,0,0,0,0,1135,1980
Steelers,0,0,0,0,0,0,0,0,1033,1980
Cardinals,0,0,0,0,0,0,0,0,1039,1980
Eagles,0,0,0,0,0,0,0,0,1036,1980
Jets,0,0,0,0,0,0,0,0,993,1980
Giants,0,0,0,0,0,0,0,0,1044,1980
Saints,0,0,0,0,0,0,0,0,960,1980
Patriots,0,0,0,0,0,0,0,0,1026,1980
Vikings,0,0,0,0,0,0,0,0,1048,1980
Dolphins,0,0,0,0,0,0,0,0,1015,1980
Raiders,0,0,0,0,0,0,0,0,1044,1980
Rams,0,0,0,0,0,0,0,0,1095,1980
Chiefs,0,0,0,0,0,0,0,0,1010,1980
Colts,0,0,0,0,0,0,0,0,1056,1980
Oilers,0,0,0,0,0,0,0,0,1063,1980
Packers,0,0,0,0,0,0,0,0,1047,1980
Lions,0,0,0,0,0,0,0,0,1040,1980
Broncos,0,0,0,0,0,0,0,0,991,1980
Cowboys,0,0,0,0,0,0,0,0,1075,1980
Browns,0,0,0,0,0,0,0,0,1013,1980
Bengals,0,0,0,0,0,0,0,0,1060,1980
Bears,0,0,0,0,0,0,0,0,1016,1980
Bills,0,0,0,0,0,0,0,0,1084,1980
Falcons,0,0,0,0,0,0,0,0,1061,1980
Redskins,0,0,0,0,0,0,0,0,1087,1981
Buccaneers,0,0,0,0,0,0,0,0,950,1981
Seahawks,0,0,0,0,0,0,0,0,1001,1981
49ers,0,0,0,0,0,0,0,0,1106,1981
Chargers,0,0,0,0,0,0,0,0,1129,1981
Steelers,0,0,0,0,0,0,0,0,1042,1981
Cardinals,0,0,0,0,0,0,0,0,1044,1981
Eagles,0,0,0,0,0,0,0,0,1057,1981
Jets,0,0,0,0,0,0,0,0,1108,1981
Giants,0,0,0,0,0,0,0,0,1034,1981
Saints,0,0,0,0,0,0,0,0,1028,1981
Patriots,0,0,0,0,0,0,0,0,1026,1981
Vikings,0,0,0,0,0,0,0,0,1129,1981
Dolphins,0,0,0,0,0,0,0,0,1063,1981
Raiders,0,0,0,0,0,0,0,0,1091,1981
Rams,0,0,0,0,0,0,0,0,1086,1981
Chiefs,0,0,0,0,0,0,0,0,1057,1981
Colts,0,0,0,0,0,0,0,0,957,1981
Oilers,0,0,0,0,0,0,0,0,947,1981
Packers,0,0,0,0,0,0,0,0,1044,1981
Lions,0,0,0,0,0,0,0,0,1076,1981
Broncos,0,0,0,0,0,0,0,0,1061,1981
Cowboys,0,0,0,0,0,0,0,0,1100,1981
Browns,0,0,0,0,0,0,0,0,1138,1981
Bengals,0,0,0,0,0,0,0,0,1078,1981
Bears,0,0,0,0,0,0,0,0,1132,1981
Bills,0,0,0,0,0,0,0,0,1043,1981
Falcons,0,0,0,0,0,0,0,0,1095,1981
Redskins,0,0,0,0,0,0,0,0,598,1982
Buccaneers,0,0,0,0,0,0,0,0,587,1982
Seahawks,0,0,0,0,0,0,0,0,589,1982
49ers,0,0,0,0,0,0,0,0,587,1982
Chargers,0,0,0,0,0,0,0,0,617,1982
Steelers,0,0,0,0,0,0,0,0,583,1982
Cardinals,0,0,0,0,0,0,0,0,579,1982
Eagles,0,0,0,0,0,0,0,0,530,1982
Jets,0,0,0,0,0,0,0,0,606,1982
Giants,0,0,0,0,0,0,0,0,559,1982
Saints,0,0,0,0,0,0,0,0,602,1982
Patriots,0,0,0,0,0,0,0,0,526,1982
Vikings,0,0,0,0,0,0,0,0,601,1982
Dolphins,0,0,0,0,0,0,0,0,582,1982
Raiders,0,0,0,0,0,0,0,0,582,1982
Rams,0,0,0,0,0,0,0,0,563,1982
Chiefs,0,0,0,0,0,0,0,0,573,1982
Colts,0,0,0,0,0,0,0,0,596,1982
Oilers,0,0,0,0,0,0,0,0,551,1982
Packers,0,0,0,0,0,0,0,0,582,1982
Lions,0,0,0,0,0,0,0,0,598,1982
Broncos,0,0,0,0,0,0,0,0,592,1982
Cowboys,0,0,0,0,0,0,0,0,579,1982
Browns,0,0,0,0,0,0,0,0,616,1982
Bengals,0,0,0,0,0,0,0,0,606,1982
Bears,0,0,0,0,0,0,0,0,571,1982
Bills,0,0,0,0,0,0,0,0,604,1982
Falcons,0,0,0,0,0,0,0,0,610,1982
Redskins,0,0,0,0,0,0,0,0,1127,1983
Buccaneers,0,0,0,0,0,0,0,0,1005,1983
Seahawks,0,0,0,0,0,0,0,0,1042,1983
49ers,0,0,0,0,0,0,0,0,1072,1983
Chargers,0,0,0,0,0,0,0,0,1086,1983
Steelers,0,0,0,0,0,0,0,0,1075,1983
Cardinals,0,0,0,0,0,0,0,0,1044,1983
Eagles,0,0,0,0,0,0,0,0,945,1983
Jets,0,0,0,0,0,0,0,0,1076,1983
Giants,0,0,0,0,0,0,0,0,1130,1983
Saints,0,0,0,0,0,0,0,0,1055,1983
Patriots,0,0,0,0,0,0,0,0,995,1983
Vikings,0,0,0,0,0,0,0,0,1068,1983
Dolphins,0,0,0,0,0,0,0,0,1033,1983
Raiders,0,0,0,0,0,0,0,0,1101,1983
Rams,0,0,0,0,0,0,0,0,1023,1983
Chiefs,0,0,0,0,0,0,0,0,1074,1983
Colts,0,0,0,0,0,0,0,0,1025,1983
Oilers,0,0,0,0,0,0,0,0,1033,1983
Packers,0,0,0,0,0,0,0,0,1007,1983
Lions,0,0,0,0,0,0,0,0,1061,1983
Broncos,0,0,0,0,0,0,0,0,1025,1983
Cowboys,0,0,0,0,0,0,0,0,1110,1983
Browns,0,0,0,0,0,0,0,0,1065,1983
Bengals,0,0,0,0,0,0,0,0,1036,1983
Bears,0,0,0,0,0,0,0,0,1083,1983
Bills,0,0,0,0,0,0,0,0,1023,1983
Falcons,0,0,0,0,0,0,0,0,1054,1983
Redskins,0,0,0,0,0,0,0,0,1121,1984
Buccaneers,0,0,0,0,0,0,0,0,1091,1984
Seahawks,0,0,0,0,0,0,0,0,1034,1984
49ers,0,0,0,0,0,0,0,0,1057,1984
Chargers,0,0,0,0,0,0,0,0,1154,1984
Steelers,0,0,0,0,0,0,0,0,1052,1984
Cardinals,0,0,0,0,0,0,0,0,1103,1984
Eagles,0,0,0,0,0,0,0,0,1047,1984
Jets,0,0,0,0,0,0,0,0,1044,1984
Giants,0,0,0,0,0,0,0,0,1083,1984
Saints,0,0,0,0,0,0,0,0,1044,1984
Patriots,0,0,0,0,0,0,0,0,1048,1984
Vikings,0,0,0,0,0,0,0,0,1041,1984
Dolphins,0,0,0,0,0,0,0,0,1070,1984
Raiders,0,0,0,0,0,0,0,0,1061,1984
Rams,0,0,0,0,0,0,0,0,931,1984
Chiefs,0,0,0,0,0,0,0,0,1034,1984
