Year,Team,W,L,T
1985,Rams,11,5,0
1984,Rams,10,6,0
1983,Rams,9,7,0
1982,Rams,2,7,0
1981,Rams,6,10,0
1980,Rams,11,5,0
1979,Rams,9,7,0
1978,Rams,12,4,0
1977,Rams,10,4,0
1976,Rams,10,3,1
1975,Rams,12,2,0
1974,Rams,10,4,0
1973,Rams,12,2,0
1972,Rams,6,7,1
1971,Rams,8,5,1
2019,49ers,13,3,0
2018,49ers,4,12,0
2017,49ers,6,10,0
2016,49ers,2,14,0
2015,49ers,5,11,0
2014,49ers,8,8,0
2013,49ers,12,4,0
2012,49ers,11,4,1
2011,49ers,13,3,0
2010,49ers,6,10,0
2009,49ers,8,8,0
2008,49ers,7,9,0
2007,49ers,5,11,0
2006,49ers,7,9,0
2005,49ers,4,12,0
2004,49ers,2,14,0
2003,49ers,7,9,0
2002,49ers,10,6,0
2001,49ers,12,4,0
2000,49ers,6,10,0
1999,49ers,4,12,0
1998,49ers,12,4,0
1997,49ers,13,3,0
1996,49ers,12,4,0
1995,49ers,11,5,0
1994,49ers,13,3,0
1993,49ers,10,6,0
1992,49ers,14,2,0
1991,49ers,10,6,0
1990,49ers,14,2,0
1989,49ers,14,2,0
1988,49ers,10,6,0
1987,49ers,13,2,0
1986,49ers,10,5,1
1985,49ers,10,6,0
1984,49ers,15,1,0
1983,49ers,10,6,0
1982,49ers,3,6,0
1981,49ers,13,3,0
1980,49ers,6,10,0
1979,49ers,2,14,0
1978,49ers,2,14,0
1977,49ers,5,9,0
1976,49ers,8,6,0
1975,49ers,5,9,0
1974,49ers,6,8,0
1973,49ers,5,9,0
1972,49ers,8,5,1
1971,49ers,9,5,0
2019,Cowboys,8,8,0
2018,Cowboys,10,6,0
2017,Cowboys,9,7,0
2016,Cowboys,13,3,0
2015,Cowboys,4,12,0
2014,Cowboys,12,4,0
2013,Cowboys,8,8,0
2012,Cowboys,8,8,0
2011,Cowboys,8,8,0
2010,Cowboys,6,10,0
2009,Cowboys,11,5,0
2008,Cowboys,9,7,0
2007,Cowboys,13,3,0
2006,Cowboys,9,7,0
2005,Cowboys,9,7,0
2004,Cowboys,6,10,0
2003,Cowboys,10,6,0
2002,Cowboys,5,11,0
2001,Cowboys,5,11,0
2000,Cowboys,5,11,0
1999,Cowboys,8,8,0
1998,Cowboys,10,6,0
1997,Cowboys,6,10,0
1996,Cowboys,10,6,0
1995,Cowboys,12,4,0
1994,Cowboys,12,4,0
1993,Cowboys,12,4,0
1992,Cowboys,13,3,0
1991,Cowboys,11,5,0
1990,Cowboys,7,9,0
1989,Cowboys,1,15,0
1988,Cowboys,3,13,0
1987,Cowboys,7,8,0
1986,Cowboys,7,9,0
1985,Cowboys,10,6,0
1984,Cowboys,9,7,0
1983,Cowboys,12,4,0
1982,Cowboys,6,3,0
1981,Cowboys,12,4,0
1980,Cowboys,12,4,0
1979,Cowboys,11,5,0
1978,Cowboys,12,4,0
1977,Cowboys,12,2,0
1976,Cowboys,11,3,0
1975,Cowboys,10,4,0
1974,Cowboys,8,6,0
1973,Cowboys,10,4,0
1972,Cowboys,10,4,0
1971,Cowboys,11,3,0
2019,Giants,4,12,0
2018,Giants,5,11,0
2017,Giants,3,13,0
2016,Giants,11,5,0
2015,Giants,6,10,0
2014,Giants,6,10,0
2013,Giants,7,9,0
2012,Giants,9,7,0
2011,Giants,9,7,0
2010,Giants,10,6,0
2009,Giants,8,8,0
2008,Giants,12,4,0
2007,Giants,10,6,0
2006,Giants,8,8,0
2005,Giants,11,5,0
2004,Giants,6,10,0
2003,Giants,4,12,0
2002,Giants,10,6,0
2001,Giants,7,9,0
2000,Giants,12,4,0
1999,Giants,7,9,0
1998,Giants,8,8,0
1997,Giants,10,5,1
1996,Giants,6,10,0
1995,Giants,5,11,0
1994,Giants,9,7,0
1993,Giants,11,5,0
1992,Giants,6,10,0
1991,Giants,8,8,0
1990,Giants,13,3,0
1989,Giants,12,4,0
1988,Giants,10,6,0
1987,Giants,6,9,0
