Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Year
Cardinals,579,365,63,7.6,4152,22,18,86,195,33.7,62,14,86T,35,2014
Eagles,591,345,58.4,7.8,4238,30,12,91.6,211,35.7,72,18,81T,49,2014
Jets,538,345,64.1,7.5,3746,31,6,101.5,194,36.1,45,14,87T,45,2014
Giants,522,324,62.1,8,3850,25,17,89.4,187,35.8,62,13,74T,47,2014
Saints,546,341,62.5,7.7,4019,26,12,92.9,205,37.5,54,10,73T,34,2014
Patriots,574,342,59.6,7.2,3837,24,16,84,196,34.1,62,8,50,40,2014
Vikings,534,353,66.1,7.1,3572,26,13,92.8,189,35.4,44,10,66T,41,2014
Dolphins,537,338,62.9,7,3557,27,14,89.7,194,36.1,47,7,74T,39,2014
Raiders,538,343,63.8,7.4,3810,29,9,96.9,190,35.3,59,6,70T,22,2014
Rams,540,368,68.1,7.6,3861,18,13,91.8,189,35,44,8,80T,40,2014
Chiefs,545,318,58.3,6.4,3252,22,6,86.4,184,33.8,41,7,48,46,2014
Jaguars,541,355,65.6,7.7,3899,24,6,99.1,200,37,60,7,73T,45,2014
Colts,543,320,58.9,7.2,3669,27,12,88.7,175,32.2,54,11,63T,41,2014
Texans,619,363,58.6,6.7,3890,28,20,80.4,206,33.3,50,12,80T,38,2014
Titans,545,347,63.7,7.3,3773,28,12,93.6,211,38.7,47,9,80,39,2014
Packers,564,333,59,6.9,3623,26,18,82,196,34.8,50,8,79,41,2014
Lions,592,383,64.7,6.8,3706,23,20,83,209,35.3,47,6,50,42,2014
Broncos,641,399,62.2,6,3607,29,18,82.4,219,34.2,41,4,81T,41,2014
Cowboys,558,371,66.5,7.5,4031,22,18,88.5,195,34.9,45,14,72,28,2014
Browns,587,335,57.1,6.4,3592,22,21,74.1,184,31.3,55,7,75T,31,2014
Bengals,608,365,60,6.6,3888,18,20,75.8,197,32.4,48,6,94T,20,2014
Bears,548,366,66.8,8.1,4230,34,14,101.7,227,41.4,65,13,73T,39,2014
Panthers,562,364,64.8,7,3645,25,14,89.5,193,34.3,46,5,81T,40,2014
Bills,559,337,60.3,6.4,3292,16,19,74.5,171,30.6,36,8,56T,54,2014
Ravens,595,382,64.2,7.3,3979,22,11,90.6,205,34.5,54,10,77T,49,2014
Falcons,566,359,63.4,8.2,4478,20,16,88.9,224,39.6,56,14,76T,22,2014
Redskins,566,354,62.5,7.8,4128,30,11,96.1,202,35.7,58,12,62T,38,2015
Buccaneers,540,378,70,7.5,3840,31,11,102.5,208,38.5,45,5,60T,38,2015
Seahawks,548,333,60.8,6.6,3364,14,14,78.1,175,31.9,49,5,69T,37,2015
49ers,549,375,68.3,8,4179,21,9,98.1,199,36.2,58,13,66T,28,2015
Chargers,510,328,64.3,7.9,3786,22,11,93.8,170,33.3,54,12,72T,32,2015
Steelers,625,402,64.3,7.5,4350,29,17,90.9,231,37,52,12,80T,48,2015
Cardinals,573,343,59.9,6.9,3687,24,19,80.9,177,30.9,56,14,88T,36,2015
Eagles,633,394,62.2,7.1,4273,36,15,92.8,239,37.8,55,9,59,37,2015
Jets,601,343,57.1,6.7,3763,25,18,79,185,30.8,59,11,72T,39,2015
Giants,638,423,66.3,7.7,4783,31,15,95.9,236,37,62,11,76T,23,2015
Saints,544,372,68.4,8.7,4544,45,9,116.2,223,41,64,17,90T,31,2015
Patriots,596,361,60.6,7.1,3851,24,12,87,204,34.2,57,9,87T,49,2015
Vikings,561,359,64,7.2,3759,24,13,90,189,33.7,47,10,72T,43,2015
Dolphins,542,350,64.6,7.8,4000,31,13,97.4,203,37.5,53,13,84T,31,2015
Raiders,641,404,63,6.8,4140,25,14,86.8,206,32.1,56,7,59,38,2015
Rams,597,399,66.8,7.2,4065,21,13,90.4,192,32.2,51,8,87T,41,2015
Chiefs,607,349,57.5,6.6,3698,25,22,76,193,31.8,46,9,55T,47,2015
Jaguars,602,390,64.8,7.5,4291,29,9,97.2,222,36.9,54,10,71T,36,2015
Colts,585,354,60.5,7.5,4114,29,17,88,210,35.9,64,12,80T,35,2015
Texans,553,326,59,6.6,3366,24,14,82.8,173,31.3,48,12,55,45,2015
Titans,502,319,63.5,7.9,3678,34,11,101.3,192,38.2,47,12,69T,39,2015
Packers,551,321,58.3,7.1,3642,20,16,80.1,183,33.2,46,14,68,43,2015
Lions,528,360,68.2,7.7,3786,27,9,100.9,191,36.2,59,11,61T,43,2015
Broncos,573,344,60,6.2,3193,19,14,78.8,162,28.3,41,5,80T,52,2015
Cowboys,506,330,65.2,7.6,3632,19,8,94.2,172,34,54,10,80T,31,2015
Browns,511,322,63,8.2,4012,34,11,101.8,186,36.4,52,16,75T,29,2015
Bengals,646,415,64.2,6.6,3976,18,21,78.9,202,31.3,39,6,64T,42,2015
Bears,512,322,62.9,7.5,3593,31,8,99.3,182,35.5,52,10,71T,35,2015
Panthers,650,390,60,6.2,3752,21,24,73.5,198,30.5,53,10,70T,44,2015
Bills,602,347,57.6,6.8,3972,30,17,83.3,197,32.7,59,11,77T,21,2015
Ravens,545,350,64.2,7.3,3737,30,6,99.6,189,34.7,51,10,80T,37,2015
Falcons,561,370,66,7.1,3882,19,15,86.9,197,35.1,50,5,74T,19,2015
Redskins,589,387,65.7,7.4,4130,22,13,91.1,225,38.2,53,8,54,38,2016
Buccaneers,548,347,63.3,7.7,4012,24,17,88.8,203,37,58,16,68,38,2016
Seahawks,537,331,61.6,7.2,3612,16,11,85,180,33.5,51,9,80T,42,2016
49ers,521,322,61.8,7.7,3848,30,10,96.9,187,35.9,59,12,78T,33,2016
Chargers,580,364,62.8,7.3,3987,21,18,83.8,204,35.2,53,8,64T,35,2016
Steelers,590,381,64.6,7,3882,20,13,87.3,184,31.2,40,10,95T,38,2016
Cardinals,547,344,62.9,6.8,3365,21,14,85.1,175,32,47,8,71,48,2016
Eagles,553,333,60.2,7.3,3832,25,16,85.7,177,32,57,13,80T,34,2016
Jets,545,347,63.7,7.5,3898,30,8,98.5,203,37.2,52,13,84T,27,2016
Giants,630,369,58.6,6.8,4018,15,17,75.8,191,30.3,59,12,71,35,2016
Saints,582,378,64.9,7.9,4380,27,9,98.1,230,39.5,48,9,66T,30,2016
Patriots,596,368,61.7,6.8,3806,21,13,84.4,190,31.9,53,5,66,34,2016
Vikings,548,332,60.6,6.6,3327,22,14,83,186,33.9,41,5,67,41,2016
Dolphins,591,368,62.3,6.9,3875,30,16,88.5,199,33.7,48,9,77T,33,2016
Raiders,541,328,60.6,7.9,4120,27,16,89.8,188,34.8,61,16,98T,25,2016
Rams,582,378,64.9,6.7,3732,32,10,95.5,194,33.3,41,6,64T,31,2016
Chiefs,598,350,58.5,6.9,3958,23,18,79.8,209,34.9,47,7,76T,28,2016
Jaguars,551,345,62.6,6.6,3444,20,7,88.5,174,31.6,40,12,64T,33,2016
Colts,582,378,64.9,7.6,4200,27,8,97.5,225,38.7,55,8,49,33,2016
Texans,522,319,61.1,6.6,3226,20,11,84.3,157,30.1,38,6,86T,31,2016
Titans,635,388,61.1,7.2,4307,25,12,88.3,227,35.7,56,12,58,40,2016
Packers,571,370,64.8,8.1,4308,32,17,95.9,227,39.8,58,11,73T,40,2016
Lions,549,399,72.7,7.5,3975,33,10,106.5,206,37.5,50,6,64,26,2016
Broncos,552,306,55.4,5.8,2972,13,14,69.7,169,30.6,32,4,80T,42,2016
Cowboys,633,425,67.1,6.9,4167,25,9,94.1,226,35.7,45,7,67T,36,2016
Browns,543,347,63.9,7.7,3996,36,10,101.8,220,40.5,52,12,63,26,2016
Bengals,593,374,63.1,6.7,3800,22,17,83.1,196,33.1,46,7,74T,33,2016
Bears,530,342,64.5,7.2,3598,22,8,93.5,188,35.5,50,8,60,37,2016
Panthers,612,409,66.8,7.5,4291,27,17,92,223,36.4,54,11,87T,47,2016
Bills,511,306,59.9,7.5,3582,19,12,85.9,183,35.8,46,11,66T,39,2016
Ravens,578,369,63.8,6.8,3724,28,18,86.9,190,32.9,50,8,79T,31,2016
Falcons,655,422,64.4,6.9,4267,31,12,92.5,232,35.4,53,5,58,34,2016
Redskins,531,306,57.6,7,3420,23,16,81,171,32.2,54,10,75T,42,2017
Buccaneers,549,371,67.6,7.8,4169,22,13,94.6,202,36.8,57,12,61T,22,2017
Seahawks,554,325,58.7,6.5,3347,19,14,79.1,181,32.7,44,5,75T,39,2017
49ers,544,344,63.2,7.2,3764,27,10,93.9,198,36.4,50,10,72T,30,2017
Chargers,524,329,62.8,6.5,3156,17,18,78.1,153,29.2,37,4,87T,43,2017
Steelers,499,297,59.5,7.2,3217,20,16,81.8,157,31.5,48,13,75T,56,2017
Cardinals,564,343,60.8,6.7,3541,24,15,83.9,187,33.2,44,8,72T,37,2017
Eagles,601,363,60.4,6.5,3637,24,19,79.5,177,29.5,40,10,77T,38,2017
Jets,558,329,59,7,3749,30,11,90.1,191,34.2,61,8,79T,28,2017
Giants,561,347,61.9,7.5,4038,32,13,94.2,189,33.7,54,13,83T,27,2017
Saints,554,329,59.4,7,3597,22,20,79,172,31,57,8,53T,42,2017
Patriots,590,367,62.2,7.3,4020,24,12,89.5,204,34.6,49,10,78T,42,2017
Vikings,555,324,58.4,6,3078,13,14,73,168,30.3,35,5,52,37,2017
Dolphins,528,339,64.2,7.2,3603,26,9,94.8,190,36,57,4,69T,30,2017
Raiders,530,361,68.1,7.6,3858,24,5,101.8,187,35.3,50,13,74,31,2017
Rams,555,324,58.4,6.8,3475,21,18,78.4,181,32.6,54,6,65T,48,2017
Chiefs,570,325,57,7.2,3952,23,16,81.5,204,35.8,53,14,69,31,2017
Jaguars,509,289,56.8,6,2718,17,21,68.5,143,28.1,40,12,74T,55,2017
Colts,513,320,62.4,8,3946,23,13,91.9,192,37.4,64,11,67,25,2017
Texans,501,321,64.1,8,3799,30,11,99.5,176,35.1,53,17,94T,32,2017
Titans,605,369,61,6.8,3828,27,12,87.8,231,38.2,37,7,80T,43,2017
Packers,513,348,67.8,7.9,3789,30,11,102,211,41.1,55,8,71T,37,2017
Lions,570,366,64.2,7.2,3892,21,19,84.1,205,36,45,8,97T,35,2017
Broncos,491,294,59.9,6.9,3210,29,10,91.9,166,33.8,47,6,64T,33,2017
Cowboys,559,371,66.4,6.7,3425,28,10,94.6,181,32.4,43,6,56T,38,2017
Browns,525,360,68.6,7.4,3684,28,7,102.3,189,36,48,7,61T,34,2017
Bengals,561,336,59.9,6.5,3379,20,11,82.9,173,30.8,45,8,72,41,2017
Bears,529,343,64.8,6.9,3376,18,8,89.9,180,34,36,8,88T,42,2017
Panthers,550,351,63.8,7.2,3665,25,10,92.9,187,34,49,8,70,50,2017
Bills,573,370,64.6,6.7,3688,14,18,78.9,199,34.7,42,3,77T,27,2017
Ravens,569,333,58.5,6.5,3421,18,22,72.4,179,31.5,48,7,57,41,2017
Falcons,553,362,65.5,6.7,3429,22,8,91.9,197,35.6,43,4,54T,39,2017
Redskins,537,362,67.4,7.6,3794,27,15,95.1,197,36.7,52,9,90T,46,2018
Buccaneers,534,387,72.5,8.2,4151,34,9,110.9,209,39.1,56,6,75T,38,2018
Seahawks,546,355,65,7.5,3842,26,12,94.3,201,36.8,58,8,75T,43,2018
49ers,542,344,63.5,7.3,3732,35,2,105.4,195,36,49,9,75T,37,2018
Chargers,548,351,64.1,7.1,3646,23,13,89.1,178,32.5,52,9,82T,38,2018
Steelers,566,362,64,7.1,3697,27,8,95.2,200,35.3,53,7,71,52,2018
