Team,FF,FR,FR TD,Rec FUM,Rush FUM,Year,INT,INT TD,INT Yds,Lng
Giants,0,0,0,0,0,1981,17,1,222,32T
Saints,0,0,0,0,0,1981,17,0,214,54
Patriots,0,0,0,0,0,1981,16,0,195,49
Vikings,0,0,0,0,0,1981,16,0,120,28
Dolphins,0,0,0,0,0,1981,18,0,254,39
Raiders,0,0,0,0,0,1981,13,1,97,34
Rams,0,0,0,0,0,1981,17,0,237,94
Chiefs,0,0,0,0,0,1981,26,1,406,46T
Colts,0,0,0,0,0,1981,16,0,210,49
Oilers,0,0,0,0,0,1981,18,0,330,38
Packers,0,0,0,0,0,1981,30,1,495,53
Lions,0,0,0,0,0,1981,24,1,286,60T
Broncos,0,0,0,0,0,1981,23,0,342,65
Cowboys,0,0,0,0,0,1981,37,0,482,96
Browns,0,0,0,0,0,1981,15,0,165,45
Bengals,0,0,0,0,0,1981,19,1,318,102T
Bears,0,0,0,0,0,1981,18,3,345,92T
Bills,0,0,0,0,0,1981,19,0,352,53
Falcons,0,0,0,0,0,1981,25,3,494,101T
Redskins,0,0,0,0,0,1982,11,0,85,26
Buccaneers,0,0,0,0,0,1982,11,0,139,51
Seahawks,0,0,0,0,0,1982,13,1,160,44
49ers,0,0,0,0,0,1982,9,1,150,83T
Chargers,0,0,0,0,0,1982,13,0,148,35
Steelers,0,0,0,0,0,1982,17,0,127,30
Cardinals,0,0,0,0,0,1982,6,0,52,35
Eagles,0,0,0,0,0,1982,15,1,42,20T
Jets,0,0,0,0,0,1982,17,1,261,77T
Giants,0,0,0,0,0,1982,12,1,205,97T
Saints,0,0,0,0,0,1982,9,0,108,32
Patriots,0,0,0,0,0,1982,12,1,176,99T
Vikings,0,0,0,0,0,1982,12,1,91,33T
Dolphins,0,0,0,0,0,1982,19,2,281,36
Raiders,0,0,0,0,0,1982,18,3,356,60
Rams,0,0,0,0,0,1982,11,0,106,33
Chiefs,0,0,0,0,0,1982,12,3,208,56T
Colts,0,0,0,0,0,1982,5,1,150,94T
Oilers,0,0,0,0,0,1982,3,0,47,31
Packers,0,0,0,0,0,1982,12,0,174,40
Lions,0,0,0,0,0,1982,18,1,154,36
Broncos,0,0,0,0,0,1982,12,0,106,29
Cowboys,0,0,0,0,0,1982,15,1,163,60T
Browns,0,0,0,0,0,1982,17,1,102,24
Bengals,0,0,0,0,0,1982,14,2,240,62T
Bears,0,0,0,0,0,1982,13,1,99,39T
Bills,0,0,0,0,0,1982,13,0,122,24
Falcons,0,0,0,0,0,1982,10,0,90,30
Redskins,0,0,0,0,0,1983,34,1,437,70T
Buccaneers,0,0,0,0,0,1983,23,3,367,69T
Seahawks,0,0,0,0,0,1983,26,2,363,73T
49ers,0,0,0,0,0,1983,24,5,437,62T
Chargers,0,0,0,0,0,1983,16,1,153,40T
Steelers,0,0,0,0,0,1983,28,4,435,70T
Cardinals,0,0,0,0,0,1983,28,0,266,30
Eagles,0,0,0,0,0,1983,8,0,79,32
Jets,0,0,0,0,0,1983,22,3,342,43T
