Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Cowboys,0,0,0,0,0,0,0,0,967,1978
Browns,0,0,0,0,0,0,0,0,1083,1978
Bengals,0,0,0,0,0,0,0,0,1036,1978
Bears,0,0,0,0,0,0,0,0,1044,1978
Bills,0,0,0,0,0,0,0,0,1016,1978
Falcons,0,0,0,0,0,0,0,0,1069,1978
Redskins,0,0,0,0,0,0,0,0,1058,1979
Buccaneers,0,0,0,0,0,0,0,0,1015,1979
Seahawks,0,0,0,0,0,0,0,0,1078,1979
49ers,0,0,0,0,0,0,0,0,1014,1979
Chargers,0,0,0,0,0,0,0,0,989,1979
Steelers,0,0,0,0,0,0,0,0,1035,1979
Cardinals,0,0,0,0,0,0,0,0,1073,1979
Eagles,0,0,0,0,0,0,0,0,1019,1979
Jets,0,0,0,0,0,0,0,0,1094,1979
Giants,0,0,0,0,0,0,0,0,1113,1979
Saints,0,0,0,0,0,0,0,0,1055,1979
Patriots,0,0,0,0,0,0,0,0,1019,1979
Vikings,0,0,0,0,0,0,0,0,1037,1979
Dolphins,0,0,0,0,0,0,0,0,938,1979
Raiders,0,0,0,0,0,0,0,0,1038,1979
Rams,0,0,0,0,0,0,0,0,1054,1979
Chiefs,0,0,0,0,0,0,0,0,1088,1979
Colts,0,0,0,0,0,0,0,0,1009,1979
Oilers,0,0,0,0,0,0,0,0,1038,1979
Packers,0,0,0,0,0,0,0,0,1114,1979
Lions,0,0,0,0,0,0,0,0,1085,1979
Broncos,0,0,0,0,0,0,0,0,1033,1979
Cowboys,0,0,0,0,0,0,0,0,978,1979
Browns,0,0,0,0,0,0,0,0,1076,1979
Bengals,0,0,0,0,0,0,0,0,1052,1979
Bears,0,0,0,0,0,0,0,0,1024,1979
Bills,0,0,0,0,0,0,0,0,1022,1979
Falcons,0,0,0,0,0,0,0,0,1071,1979
Redskins,0,0,0,0,0,0,0,0,1020,1980
Buccaneers,0,0,0,0,0,0,0,0,1088,1980
Seahawks,0,0,0,0,0,0,0,0,1038,1980
49ers,0,0,0,0,0,0,0,0,1082,1980
Chargers,0,0,0,0,0,0,0,0,1057,1980
Steelers,0,0,0,0,0,0,0,0,1036,1980
Cardinals,0,0,0,0,0,0,0,0,1116,1980
Eagles,0,0,0,0,0,0,0,0,1032,1980
Jets,0,0,0,0,0,0,0,0,1080,1980
Giants,0,0,0,0,0,0,0,0,1060,1980
Saints,0,0,0,0,0,0,0,0,1102,1980
Patriots,0,0,0,0,0,0,0,0,984,1980
Vikings,0,0,0,0,0,0,0,0,1060,1980
Dolphins,0,0,0,0,0,0,0,0,1062,1980
Raiders,0,0,0,0,0,0,0,0,1079,1980
Rams,0,0,0,0,0,0,0,0,1011,1980
Chiefs,0,0,0,0,0,0,0,0,1096,1980
