Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,Year
Bills,295,3600,12.2,23,51,12,63,155,52.5,6,2015
Ravens,426,4449,10.4,21,54,8,50T,211,49.5,3,2015
Falcons,410,4602,11.2,21,49,9,70T,230,56.1,4,2015
Redskins,407,4948,12.2,25,70,13,80T,226,55.5,4,2016
Buccaneers,355,4165,11.7,29,43,4,45T,220,62,1,2016
Seahawks,368,4422,12,23,54,12,59,203,55.2,6,2016
49ers,287,3166,11,21,35,6,75T,152,53,7,2016
Chargers,349,4386,12.6,33,57,16,59,214,61.3,6,2016
Steelers,381,4377,11.5,33,64,10,72T,210,55.1,1,2016
Cardinals,383,4425,11.6,28,51,6,80T,229,59.8,5,2016
Eagles,380,3798,10,16,39,6,73T,192,50.5,3,2016
Jets,311,3645,11.7,16,48,10,69T,166,53.4,3,2016
Giants,377,4027,10.7,26,46,11,75T,190,50.4,7,2016
Saints,472,5258,11.1,38,71,11,98T,265,56.1,7,2016
Patriots,368,4456,12.1,32,56,9,79T,203,55.2,3,2016
Vikings,414,4119,9.9,20,52,8,71T,209,50.5,1,2016
Dolphins,316,3716,11.8,27,46,15,74T,167,52.8,2,2016
Raiders,379,4137,10.9,29,51,8,75T,198,52.2,4,2016
Rams,312,3313,10.6,14,43,9,66,151,48.4,4,2016
Chiefs,365,3914,10.7,19,46,9,80T,197,54,5,2016
Jaguars,369,3925,10.6,24,44,4,51T,207,56.1,2,2016
Colts,370,4491,12.1,32,63,8,64T,220,59.5,4,2016
Texans,347,3418,9.9,15,34,4,53,173,49.9,2,2016
Titans,307,3720,12.1,29,53,8,60,175,57,2,2016
Packers,403,4445,11,40,57,10,66T,222,55.1,6,2016
Lions,388,4327,11.2,24,52,10,73T,217,55.9,1,2016
Broncos,339,3914,11.5,20,40,8,76T,181,53.4,8,2016
Cowboys,325,3799,11.7,25,39,8,83T,191,58.8,4,2016
Browns,338,3693,10.9,15,44,9,58,181,53.6,2,2016
Bengals,364,4206,11.6,18,53,13,86T,204,56,4,2016
Bears,347,4139,11.9,19,49,4,64,212,61.1,5,2016
Panthers,306,3962,12.9,21,49,9,88T,194,63.4,2,2016
