Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,Year
49ers,360,4371,12.1,28,0,0,78T,0,0,0,1990
Chargers,246,2840,11.5,18,0,0,45T,0,0,0,1990
Steelers,237,2887,12.2,20,0,0,90,0,0,0,1990
Cardinals,238,3118,13.1,16,0,0,68T,0,0,0,1990
Eagles,281,3582,12.7,34,0,0,95T,0,0,0,1990
Jets,246,3059,12.4,14,0,0,69T,0,0,0,1990
Giants,231,2898,12.5,18,0,0,80T,0,0,0,1990
Saints,226,2757,12.2,15,0,0,68T,0,0,0,1990
Patriots,274,3208,11.7,14,0,0,56,0,0,0,1990
Vikings,265,3445,13,25,0,0,78T,0,0,0,1990
Dolphins,310,3611,11.6,21,0,0,69T,0,0,0,1990
Raiders,183,2885,15.8,19,0,0,68T,0,0,0,1990
Rams,310,4016,13,24,0,0,55T,0,0,0,1990
Chiefs,260,3458,13.3,23,0,0,90T,0,0,0,1990
Colts,269,3297,12.3,22,0,0,75,0,0,0,1990
Oilers,399,5072,12.7,37,0,0,87T,0,0,0,1990
Packers,302,3696,12.2,20,0,0,76T,0,0,0,1990
Lions,242,3328,13.8,24,0,0,68T,0,0,0,1990
Broncos,305,3671,12,15,0,0,66,0,0,0,1990
Cowboys,254,2898,11.4,12,0,0,61T,0,0,0,1990
Browns,301,3407,11.3,13,0,0,50,0,0,0,1990
Bengals,237,3152,13.3,25,0,0,53,0,0,0,1990
Bears,229,2827,12.3,14,0,0,80T,0,0,0,1990
Bills,263,3404,12.9,28,0,0,71,0,0,0,1990
Falcons,293,3726,12.7,21,0,0,75T,0,0,0,1990
Redskins,261,3771,14.4,30,52,15,82T,179,68.6,0,1991
Buccaneers,250,2955,11.8,13,32,2,87T,147,58.8,0,1991
Seahawks,290,3371,11.6,15,34,6,60,159,54.8,0,1991
49ers,325,4167,12.8,29,49,13,97T,197,60.6,0,1991
Chargers,272,2983,11,13,29,5,58,155,57,0,1991
Steelers,259,3313,12.8,20,40,8,89T,158,61,0,1991
Cardinals,254,3039,12,10,32,6,62T,143,56.3,0,1991
Eagles,285,3169,11.1,17,38,7,75T,142,49.8,0,1991
Jets,295,3429,11.6,12,44,4,53,169,57.3,0,1991
Giants,261,3025,11.6,13,39,5,55,148,56.7,0,1991
Saints,292,3419,11.7,20,41,8,65T,157,53.8,0,1991
Patriots,284,3442,12.1,11,46,7,60T,155,54.6,0,1991
Vikings,284,3016,10.6,16,31,6,50,158,55.6,0,1991
Dolphins,327,4077,12.5,26,44,6,54,205,62.7,0,1991
Raiders,220,2977,13.5,20,41,10,80T,132,60,0,1991
Rams,289,3610,12.5,13,44,4,78,180,62.3,0,1991
Chiefs,284,3281,11.6,19,32,6,63,172,60.6,0,1991
Colts,305,3066,10.1,10,33,2,49T,163,53.4,0,1991
Oilers,411,4804,11.7,24,60,8,68T,236,57.4,0,1991
Packers,272,3213,11.8,17,41,2,75T,150,55.1,0,1991
Lions,252,2974,11.8,16,29,3,73T,148,58.7,0,1991
Broncos,246,3310,13.5,13,50,9,71,150,61,0,1991
Cowboys,305,3663,12,16,47,5,66T,191,62.6,0,1991
Browns,312,3547,11.4,19,43,9,71T,163,52.2,0,1991
Bengals,290,3413,11.8,14,41,9,53,162,55.9,0,1991
Bears,286,3292,11.5,16,34,5,84T,168,58.7,0,1991
Bills,332,4140,12.5,39,51,10,77T,208,62.7,0,1991
Falcons,260,3634,14,30,51,11,80T,162,62.3,0,1991
Redskins,272,3339,12.3,15,41,10,62T,160,58.8,3,1992
Buccaneers,299,3399,11.4,17,43,5,81T,165,55.2,3,1992
Seahawks,230,2323,10.1,9,21,1,57,114,49.6,6,1992
49ers,319,4054,12.7,29,61,10,80T,192,60.2,6,1992
Chargers,282,3614,12.8,16,43,11,67T,161,57.1,2,1992
Steelers,249,3046,12.2,15,39,7,51,143,57.4,7,1992
Cardinals,298,3344,11.2,15,36,10,72T,161,54,8,1992
Eagles,255,3054,12,20,39,11,75T,138,54.1,1,1992
Jets,251,2962,11.8,12,36,4,55T,137,54.6,2,1992
Giants,232,2628,11.3,14,38,3,46,119,51.3,5,1992
Saints,251,3297,13.1,19,48,8,72T,155,61.8,5,1992
Patriots,244,2492,10.2,13,26,3,65T,130,53.3,5,1992
Vikings,258,3162,12.3,18,42,7,60T,157,60.9,3,1992
Dolphins,332,4148,12.5,24,45,12,62T,194,58.4,8,1992
Raiders,233,2950,12.7,20,34,7,68T,139,59.7,4,1992
Rams,289,3422,11.8,23,39,6,67T,174,60.2,6,1992
Chiefs,230,3115,13.5,15,44,11,77T,134,58.3,5,1992
Colts,305,3584,11.8,13,44,4,81,174,57,1,1992
Oilers,373,4231,11.3,27,49,8,72,217,58.2,6,1992
Packers,340,3498,10.3,20,31,9,76T,171,50.3,5,1992
Lions,231,3150,13.6,16,35,13,78T,133,57.6,3,1992
Broncos,258,3312,12.8,16,45,11,81T,135,52.3,4,1992
Cowboys,314,3597,11.5,23,40,8,87T,183,58.3,4,1992
Browns,238,3102,13,18,39,12,69T,141,59.2,5,1992
Bengals,227,2284,10.1,16,20,1,83T,114,50.2,3,1992
Bears,266,3334,12.5,17,39,10,83T,157,59,1,1992
Bills,293,3678,12.6,23,42,9,65T,192,65.5,9,1992
Falcons,336,3892,11.6,33,48,6,89T,194,57.7,8,1992
Redskins,287,2764,9.6,11,24,4,54,143,49.8,2,1993
Buccaneers,262,3295,12.6,19,46,11,67T,141,53.8,3,1993
Seahawks,280,2896,10.3,13,33,5,53T,144,51.4,3,1993
49ers,354,4480,12.7,29,61,10,80T,212,59.9,7,1993
Chargers,301,3383,11.2,18,38,5,66T,171,56.8,0,1993
Steelers,299,3606,12.1,16,37,8,71T,180,60.2,6,1993
Cardinals,310,3635,11.7,21,42,8,65T,173,55.8,2,1993
Eagles,328,3463,10.6,23,31,8,80T,184,56.1,8,1993
Jets,294,3492,11.9,16,37,10,77,173,58.8,9,1993
Giants,257,3180,12.4,17,41,10,62,153,59.5,4,1993
Saints,274,3183,11.6,18,31,5,63T,158,57.7,5,1993
Patriots,289,3412,11.8,17,42,7,82,169,58.5,5,1993
Vikings,315,3381,10.7,18,38,5,58,182,57.8,4,1993
Dolphins,342,4564,13.3,27,60,12,80T,207,60.5,12,1993
Raiders,281,3882,13.8,17,49,13,74T,168,59.8,4,1993
Rams,247,3021,12.2,16,44,5,60T,147,59.5,2,1993
Chiefs,287,3384,11.8,20,41,5,66T,180,62.7,4,1993
Colts,332,3623,10.9,10,39,3,72T,180,54.2,12,1993
Oilers,357,4145,11.6,23,49,7,80T,208,58.3,11,1993
Packers,322,3330,10.3,19,38,5,66T,166,51.6,1,1993
Lions,264,2943,11.1,15,28,9,93T,139,52.7,5,1993
Broncos,350,4061,11.6,27,51,10,63,187,53.4,6,1993
Cowboys,317,3617,11.4,18,34,9,86,172,54.3,4,1993
Browns,262,3328,12.7,23,47,10,62T,152,58,6,1993
Bengals,272,2830,10.4,11,38,3,51,133,48.9,3,1993
Bears,230,2270,9.9,7,23,2,48,113,49.1,3,1993
Bills,304,3535,11.6,20,49,8,65T,176,57.9,3,1993
Falcons,334,3787,11.3,28,37,6,98T,185,55.4,5,1993
Redskins,271,3524,13,25,57,8,81T,166,61.3,2,1994
Buccaneers,271,3436,12.7,17,40,13,71T,149,55,2,1994
Seahawks,253,2809,11.1,13,36,4,51,143,56.5,5,1994
49ers,359,4362,12.2,37,53,9,69T,210,58.5,3,1994
Chargers,305,3619,11.9,20,44,9,99T,181,59.3,0,1994
Steelers,266,3247,12.2,17,40,10,84T,148,55.6,3,1994
Cardinals,287,3284,11.4,11,33,7,63,169,58.9,4,1994
Eagles,316,3736,11.8,18,45,10,93,168,53.2,2,1994
Jets,310,3323,10.7,18,35,3,69,164,52.9,1,1994
Giants,226,2847,12.6,16,39,10,55,136,60.2,0,1994
Saints,366,4027,11,22,39,5,78T,203,55.5,1,1994
Patriots,405,4583,11.3,25,52,3,62T,243,60,4,1994
Vikings,409,4570,11.2,18,55,8,65T,215,52.6,10,1994
Dolphins,392,4533,11.6,31,57,7,64T,220,56.1,4,1994
Raiders,281,3556,12.7,22,43,9,77T,158,56.2,3,1994
Rams,291,3597,12.4,23,42,10,72T,163,56,2,1994
Chiefs,366,4092,11.2,20,49,8,62T,211,57.7,5,1994
Colts,217,2519,11.6,15,30,3,85T,126,58.1,4,1994
Oilers,274,3216,11.7,13,34,6,81,158,57.7,3,1994
Packers,375,3977,10.6,33,45,4,49,205,54.7,3,1994
Lions,250,3085,12.3,24,35,3,51T,164,65.6,5,1994
Broncos,388,4383,11.3,18,51,14,76,202,52.1,5,1994
Cowboys,282,3461,12.3,19,41,11,90,160,56.7,4,1994
Browns,266,3269,12.3,20,42,9,81T,161,60.5,6,1994
Bengals,289,3541,12.3,21,44,14,76,158,54.7,1,1994
Bears,308,3230,10.5,19,33,6,85T,165,53.6,2,1994
Bills,342,3714,10.9,23,37,4,83T,181,52.9,4,1994
Falcons,374,4344,11.6,25,48,8,85T,218,58.3,2,1994
Redskins,265,3496,13.2,16,54,10,73T,169,63.8,4,1995
Buccaneers,267,3341,12.5,5,44,6,64T,159,59.6,4,1995
Seahawks,273,3359,12.3,19,42,8,59T,171,62.6,4,1995
49ers,432,4779,11.1,29,54,12,81T,231,53.5,9,1995
Chargers,318,3706,11.7,17,38,5,51T,185,58.2,4,1995
Steelers,348,4093,11.8,21,56,5,71T,193,55.5,6,1995
Cardinals,327,3893,11.9,17,59,4,48,184,56.3,2,1995
Eagles,284,2931,10.3,11,27,0,37T,145,51.1,7,1995
Jets,330,3129,9.5,20,30,3,43T,159,48.2,5,1995
Giants,260,2863,11,11,31,5,57T,150,57.7,3,1995
Saints,349,4002,11.5,26,52,7,70T,202,57.9,5,1995
Patriots,351,3789,10.8,14,36,3,72,207,59,6,1995
Vikings,402,4500,11.2,33,53,12,85T,223,55.5,4,1995
Dolphins,384,4398,11.5,28,47,7,67T,225,58.6,3,1995
Raiders,317,3787,11.9,25,42,11,80T,189,59.6,4,1995
Rams,366,4113,11.2,27,50,6,72,199,54.4,8,1995
Chiefs,300,3178,10.6,21,31,5,60T,164,54.7,1,1995
Jaguars,275,3144,11.4,19,35,2,71T,154,56,2,1995
Colts,270,3373,12.5,20,40,8,52,147,54.4,2,1995
Oilers,314,3512,11.2,22,38,10,76T,157,50,5,1995
Packers,372,4539,12.2,39,60,5,99T,235,63.2,1,1995
Lions,362,4510,12.5,33,57,10,91T,230,63.5,4,1995
Broncos,350,4260,12.2,27,54,10,62T,205,58.6,6,1995
Cowboys,322,3741,11.6,18,44,8,50,195,60.6,2,1995
Browns,324,3772,11.6,21,51,8,70T,189,58.3,6,1995
Bengals,334,3915,11.7,29,42,10,88T,184,55.1,4,1995
Bears,315,3838,12.2,29,42,13,76T,201,63.8,1,1995
Panthers,263,3304,12.6,16,41,11,89T,157,59.7,4,1995
Bills,279,3348,12,24,39,11,77T,142,50.9,3,1995
Falcons,364,4456,12.2,26,62,11,62T,216,59.3,4,1995
Redskins,270,3453,12.8,12,50,6,52T,174,64.4,2,1996
Buccaneers,274,2944,10.7,12,33,3,45,152,55.5,4,1996
Seahawks,261,3216,12.3,14,39,11,80T,147,56.3,5,1996
49ers,358,3859,10.8,24,40,6,52,188,52.5,4,1996
Chargers,314,3654,11.6,23,43,11,63T,168,53.5,5,1996
Steelers,246,2990,12.2,15,36,7,70T,146,59.3,3,1996
Cardinals,336,3917,11.7,23,50,5,69,214,63.7,4,1996
Eagles,328,3979,12.1,19,48,6,62,196,59.8,2,1996
Jets,339,3911,11.5,22,42,10,78T,191,56.3,4,1996
Giants,238,2663,11.2,14,24,0,37T,145,60.9,3,1996
Saints,295,3069,10.4,13,35,7,57T,135,45.8,5,1996
Patriots,374,4091,10.9,27,45,3,84T,206,55.1,6,1996
Vikings,331,3899,11.8,24,46,9,82T,186,56.2,3,1996
Dolphins,300,3783,12.6,22,54,11,74T,173,57.7,8,1996
Raiders,311,3327,10.7,28,36,6,62T,172,55.3,3,1996
Rams,249,3144,12.6,18,38,9,77T,141,56.6,3,1996
Chiefs,290,3093,10.7,18,37,4,69,168,57.9,4,1996
Jaguars,353,4367,12.4,19,40,13,62,208,58.9,3,1996
Colts,311,3544,11.4,16,42,6,51,172,55.3,4,1996
Oilers,272,3296,12.1,22,36,8,83T,157,57.7,3,1996
Packers,328,3938,12,39,50,11,80T,197,60.1,7,1996
Lions,309,3463,11.2,20,38,3,62T,180,58.3,1,1996
Broncos,327,3662,11.2,26,46,6,51,180,55,1,1996
Cowboys,307,3249,10.6,12,33,5,61,163,53.1,9,1996
Bengals,316,3726,11.8,25,36,11,61T,190,60.1,0,1996
Bears,318,3350,10.5,19,35,4,58T,176,55.3,7,1996
Panthers,273,3333,12.2,22,41,5,55,160,58.6,1,1996
Bills,279,3558,12.8,18,48,10,95T,149,53.4,3,1996
Ravens,335,4274,12.8,34,59,10,86T,208,62.1,0,1996
Falcons,356,3909,11,26,44,10,67,202,56.7,3,1996
Redskins,283,3581,12.7,22,45,7,69,192,67.8,2,1997
Buccaneers,224,2638,11.8,21,33,6,59T,134,59.8,5,1997
Seahawks,359,4187,11.7,26,55,10,61,207,57.7,5,1997
49ers,278,3432,12.3,20,47,4,82,167,60.1,5,1997
Chargers,291,3475,11.9,12,46,9,72T,161,55.3,3,1997
Steelers,253,3215,12.7,22,41,10,69T,157,62.1,4,1997
Cardinals,317,3953,12.5,19,47,10,70T,186,58.7,4,1997
Eagles,330,4009,12.1,22,46,5,72T,203,61.5,4,1997
Jets,319,3555,11.1,20,44,2,70,173,54.2,3,1997
Giants,249,2763,11.1,16,35,7,68T,124,49.8,2,1997
Saints,228,2901,12.7,13,39,7,89T,127,55.7,2,1997
Patriots,321,3808,11.9,31,49,12,76,173,53.9,3,1997
Vikings,319,3537,11.1,26,42,7,56,177,55.5,5,1997
Dolphins,332,3945,11.9,16,51,4,55,199,59.9,4,1997
Raiders,294,3944,13.4,29,59,10,76,170,57.8,4,1997
Rams,271,3524,13,14,46,12,76,161,59.4,1,1997
Chiefs,281,3129,11.1,20,43,5,55T,163,58,1,1997
Jaguars,313,3922,12.5,20,60,11,75,187,59.7,2,1997
Colts,317,3560,11.2,16,34,7,58,171,53.9,3,1997
Oilers,220,2704,12.3,15,37,5,55T,136,61.8,2,1997
Packers,309,3896,12.6,35,61,9,74,191,61.8,4,1997
Lions,304,3605,11.9,19,45,8,79,166,54.6,3,1997
Broncos,287,3704,12.9,27,53,10,78,172,59.9,4,1997
Cowboys,314,3454,11,19,36,7,64T,170,54.1,7,1997
Bengals,302,3603,11.9,21,40,8,77T,171,56.6,5,1997
Bears,336,3501,10.4,14,28,6,78T,188,56,6,1997
Panthers,289,3156,10.9,17,36,3,59T,170,58.8,4,1997
Bills,293,3213,11,14,37,9,77T,144,49.1,4,1997
Ravens,338,3929,11.6,25,44,8,92,176,52.1,7,1997
Falcons,273,3445,12.6,26,40,9,56,168,61.5,6,1997
Redskins,304,3724,12.3,24,42,7,75T,186,61.2,3,1998
Buccaneers,234,2787,11.9,21,29,10,79T,139,59.4,3,1998
Seahawks,273,3219,11.8,21,33,10,81T,144,52.7,5,1998
49ers,347,4510,13,41,60,13,81T,223,64.3,3,1998
Chargers,261,3115,11.9,11,33,7,67,146,55.9,3,1998
Steelers,274,2781,10.1,13,27,5,55T,135,49.3,0,1998
Cardinals,326,3768,11.6,17,48,6,57,179,54.9,4,1998
Eagles,282,2730,9.7,7,26,3,61T,141,50,5,1998
Jets,318,4032,12.7,33,55,8,82T,207,65.1,2,1998
Giants,265,2822,10.6,18,36,6,87T,129,48.7,5,1998
Saints,278,3514,12.6,19,41,9,89T,165,59.4,4,1998
Patriots,295,4004,13.6,23,55,17,86T,184,62.4,0,1998
Vikings,327,4492,13.7,41,62,21,67T,210,64.2,1,1998
Dolphins,316,3582,11.3,23,46,6,61T,176,55.7,4,1998
Raiders,282,3534,12.5,21,51,6,75T,156,55.3,6,1998
Rams,314,3381,10.8,12,38,8,80T,164,52.2,3,1998
Chiefs,305,3472,11.4,15,43,5,80T,153,50.2,10,1998
Jaguars,269,3343,12.4,24,44,11,78T,153,56.9,4,1998
Colts,326,3739,11.5,26,42,8,78T,190,58.3,0,1998
Oilers,305,3482,11.4,16,43,5,55,171,56.1,2,1998
Packers,361,4340,12,33,48,9,84T,210,58.2,6,1998
Lions,274,3398,12.4,17,46,7,98T,160,58.4,2,1998
Broncos,290,3808,13.1,32,48,8,58,186,64.1,2,1998
Cowboys,279,3546,12.7,17,46,13,80T,154,55.2,3,1998
Bengals,307,3545,11.5,20,44,13,76T,148,48.2,4,1998
Bears,284,3277,11.5,16,36,8,79T,154,54.2,9,1998
Panthers,292,3624,12.4,25,44,12,72T,171,58.6,6,1998
Bills,269,3621,13.5,28,48,12,84T,176,65.4,1,1998
Ravens,272,3152,11.6,16,36,12,73T,140,51.5,7,1998
Falcons,237,3744,15.8,28,60,11,78T,175,73.8,4,1998
Redskins,324,4112,12.7,26,64,14,65T,183,56.5,8,1999
Buccaneers,268,2781,10.4,18,26,5,68,132,49.3,1,1999
Seahawks,288,3629,12.6,25,52,6,51,179,62.2,5,1999
49ers,324,3526,10.9,14,37,8,62,172,53.1,5,1999
Chargers,332,3627,10.9,12,44,12,80T,171,51.5,4,1999
Steelers,301,3118,10.4,19,32,3,49,159,52.8,3,1999
Cardinals,287,3085,10.7,11,36,8,71,150,52.3,7,1999
Eagles,235,2405,10.2,18,25,5,84T,123,52.3,2,1999
Jets,272,3001,11,22,39,6,65,139,51.1,1,1999
Giants,350,4015,11.5,17,46,6,80T,197,56.3,3,1999
Saints,288,3598,12.5,16,47,11,90T,159,55.2,2,1999
Patriots,305,3985,13.1,19,50,13,68T,184,60.3,4,1999
Vikings,316,4318,13.7,32,71,11,80T,192,60.8,4,1999
Dolphins,329,3736,11.4,20,49,7,69T,188,57.1,6,1999
Raiders,306,3850,12.6,24,52,7,50,196,64.1,2,1999
Rams,343,4580,13.4,42,62,17,75T,207,60.3,5,1999
Chiefs,295,3409,11.6,22,36,6,86T,164,55.6,4,1999
Jaguars,320,3716,11.6,16,44,8,62,194,60.6,3,1999
Colts,338,4182,12.4,26,56,11,80T,200,59.2,8,1999
Titans,304,3622,11.9,23,49,8,65T,167,54.9,2,1999
Packers,344,4132,12,23,52,11,74T,196,57,6,1999
Lions,326,4074,12.5,22,54,15,77T,179,54.9,3,1999
Broncos,319,3646,11.4,16,42,7,88,168,52.7,1,1999
Cowboys,295,3278,11.1,20,41,7,90T,139,47.1,2,1999
Browns,271,2997,11.1,19,37,6,78T,134,49.4,2,1999
Bengals,300,3504,11.7,18,32,7,76T,161,53.7,1,1999
Bears,404,4352,10.8,25,53,11,80T,203,50.2,7,1999
Panthers,345,4447,12.9,36,61,9,88T,208,60.3,3,1999
Bills,290,3478,12,21,44,8,54T,173,59.7,1,1999
Ravens,270,3360,12.4,21,46,12,76T,148,54.8,4,1999
Redskins,343,3892,11.3,18,43,10,77T,185,53.9,4,2000
Buccaneers,237,2824,11.9,18,38,5,75,144,60.8,2,2000
Seahawks,308,3198,10.4,21,26,7,71,168,54.5,4,2000
49ers,366,4400,12,32,61,9,69T,211,57.7,6,2000
Chargers,311,3540,11.4,19,41,9,83T,156,50.2,3,2000
Steelers,217,2738,12.6,12,37,3,77T,128,59,4,2000
Cardinals,316,3478,11,16,41,11,70T,156,49.4,6,2000
Eagles,331,3386,10.2,21,46,5,70T,182,55,3,2000
Jets,352,4023,11.4,23,50,8,63,192,54.5,2,2000
Giants,311,3610,11.6,22,46,7,59,195,62.7,6,2000
Saints,298,3573,12,22,42,8,53T,169,56.7,4,2000
Patriots,328,3461,10.6,18,35,5,59,172,52.4,5,2000
Vikings,307,4019,13.1,33,57,13,78T,193,62.9,5,2000
Dolphins,243,2720,11.2,15,32,8,61,122,50.2,2,2000
Raiders,284,3430,12.1,28,42,8,84T,177,62.3,2,2000
Rams,380,5492,14.5,37,79,21,85T,247,65,5,2000
Chiefs,342,4408,12.9,29,59,8,81T,207,60.5,6,2000
Jaguars,333,3947,11.9,22,42,11,67T,193,58,7,2000
Colts,357,4413,12.4,33,51,8,78T,213,59.7,4,2000
Titans,286,3430,12,18,41,6,67,167,58.4,5,2000
Packers,348,3916,11.3,21,43,7,67T,197,56.6,9,2000
Lions,277,2992,10.8,14,35,4,59,143,51.6,3,2000
Broncos,354,4464,12.6,28,65,10,61,223,63,1,2000
Cowboys,255,2771,10.9,14,33,6,76T,128,50.2,3,2000
Browns,278,2728,9.8,9,25,3,79,110,39.6,6,2000
Bengals,207,2219,10.7,6,26,1,46,109,52.7,2,2000
Bears,304,3005,9.9,12,29,6,68T,143,47,5,2000
Panthers,340,3850,11.3,19,47,2,54,201,59.1,6,2000
Bills,312,3936,12.6,20,59,9,74T,174,55.8,7,2000
Ravens,287,3102,10.8,20,37,8,59T,156,54.4,4,2000
Redskins,235,2716,11.6,13,31,6,85T,122,51.9,2,2001
Buccaneers,362,3621,10,13,36,2,47,189,52.2,4,2001
Seahawks,258,3164,12.3,15,45,12,64,141,54.7,3,2001
49ers,318,3559,11.2,32,41,10,61T,184,57.9,3,2001
Chargers,309,3685,11.9,16,47,5,78,177,57.3,6,2001
Steelers,274,3295,12,16,49,8,90T,150,54.7,3,2001
Cardinals,304,3653,12,18,52,11,68T,177,58.2,4,2001
Eagles,300,3427,11.4,27,46,9,64T,146,48.7,3,2001
Jets,272,2871,10.6,17,39,1,40T,151,55.5,1,2001
Giants,327,3764,11.5,19,52,7,76,189,57.8,5,2001
Saints,313,3844,12.3,27,55,13,63,184,58.8,5,2001
Patriots,306,3326,10.9,21,38,8,91T,163,53.3,3,2001
Vikings,335,3854,11.5,23,46,10,80T,179,53.4,5,2001
Dolphins,275,3335,12.1,20,42,7,74T,154,56,7,2001
Raiders,364,3862,10.6,27,45,5,49,195,53.6,2,2001
Rams,379,4903,12.9,37,82,12,65T,236,62.3,11,2001
Chiefs,300,3863,12.9,17,53,13,67T,178,59.3,3,2001
Jaguars,321,3670,11.4,20,43,3,45,181,56.4,5,2001
Colts,349,4227,12.1,27,57,11,86T,206,59,4,2001
Titans,307,3867,12.6,23,55,10,71T,179,58.3,0,2001
Packers,314,3921,12.5,32,53,13,67T,187,59.6,2,2001
Lions,343,3969,11.6,18,52,6,76,184,53.6,4,2001
Broncos,312,3208,10.3,26,30,2,65T,174,55.8,6,2001
Cowboys,210,2408,11.5,14,32,8,80T,110,52.4,1,2001
Browns,279,3154,11.3,18,42,7,78,139,49.8,5,2001
Bengals,322,3291,10.2,12,32,2,49,176,54.7,3,2001
Bears,315,3072,9.8,20,35,7,66T,153,48.6,4,2001
Panthers,314,3098,9.9,12,32,4,48,144,45.9,5,2001
Bills,327,3722,11.4,18,48,10,80T,180,55,4,2001
Ravens,320,3595,11.2,18,43,6,77T,180,56.3,3,2001
Redskins,300,3523,11.7,24,36,7,62T,165,55,7,2002
Buccaneers,348,3665,10.5,23,37,6,76T,172,49.4,5,2002
Seahawks,361,4257,11.8,19,45,8,83,208,57.6,9,2002
49ers,354,3576,10.1,23,32,7,76T,182,51.4,3,2002
Chargers,324,3368,10.4,17,42,5,52T,166,51.2,6,2002
Steelers,350,4036,11.5,26,51,8,72T,200,57.1,6,2002
Cardinals,291,3038,10.4,18,30,3,80T,148,50.9,1,2002
Eagles,318,3606,11.3,27,49,7,59T,164,51.6,7,2002
Jets,329,3619,11,25,44,3,47,190,57.8,4,2002
Giants,338,4103,12.1,19,61,4,82T,195,57.7,9,2002
Saints,291,3685,12.7,27,48,13,64,169,58.1,5,2002
Patriots,374,3767,10.1,28,37,3,49T,184,49.2,5,2002
Vikings,337,3951,11.7,19,50,10,61,191,56.7,5,2002
Dolphins,271,3069,11.3,18,38,5,77,155,57.2,6,2002
Raiders,418,4689,11.2,26,48,8,75,226,54.1,4,2002
Rams,408,4480,11,24,56,7,58,219,53.7,6,2002
Chiefs,292,3763,12.9,27,47,13,99T,179,61.3,0,2002
Jaguars,268,3019,11.3,18,30,6,79T,156,58.2,1,2002
Colts,392,4200,10.7,27,51,11,69,213,54.3,10,2002
Texans,235,2636,11.2,11,32,5,81,119,50.6,1,2002
Titans,306,3441,11.2,22,35,6,55,182,59.5,5,2002
Packers,361,3823,10.6,29,42,7,85T,197,54.6,5,2002
Lions,277,3168,11.4,19,40,10,64T,150,54.2,1,2002
Broncos,359,4139,11.5,21,43,10,82T,199,55.4,1,2002
Cowboys,252,3020,12,14,34,10,80T,129,51.2,5,2002
Browns,338,3665,10.8,27,47,10,78T,171,50.6,3,2002
Bengals,350,3732,10.7,17,32,5,72T,186,53.1,1,2002
Bears,310,3316,10.7,22,49,7,76T,156,50.3,2,2002
Panthers,255,2981,11.7,15,51,6,69,133,52.2,3,2002
Bills,377,4364,11.6,24,45,13,73T,218,57.8,4,2002
Redskins,283,3273,11.6,21,45,4,64,156,55.1,4,2003
Buccaneers,369,3941,10.7,27,38,9,76T,190,51.5,7,2003
Seahawks,317,3872,12.2,27,54,5,80T,190,59.9,3,2003
49ers,299,3566,11.9,25,46,7,75T,172,57.5,3,2003
Chargers,297,3226,10.9,21,45,6,73T,146,49.2,3,2003
Steelers,306,3548,11.6,19,46,5,81T,174,56.9,3,2003
Cardinals,303,3265,10.8,18,38,8,71T,147,48.5,4,2003
Eagles,279,3273,11.7,17,45,9,59,156,55.9,3,2003
Jets,312,3524,11.3,20,44,8,65T,181,58,3,2003
Giants,344,3642,10.6,16,35,8,77T,184,53.5,6,2003
Saints,314,3641,11.6,25,36,7,76T,177,56.4,5,2003
Patriots,320,3651,11.4,23,44,8,82T,177,55.3,3,2003
Vikings,333,4169,12.5,32,52,15,72T,194,58.3,3,2003
Dolphins,257,3001,11.7,17,43,5,80T,145,56.4,6,2003
Raiders,278,2988,10.7,9,38,2,47T,140,50.4,3,2003
Rams,377,4287,11.4,23,64,6,48,211,56,4,2003
Chiefs,339,4113,12.1,24,55,8,67T,201,59.3,2,2003
Jaguars,303,3421,11.3,17,40,8,84T,163,53.8,4,2003
Colts,381,4289,11.3,29,45,9,79T,212,55.6,5,2003
Texans,248,2841,11.5,14,32,7,78T,127,51.2,4,2003
Titans,315,4031,12.8,30,55,12,73,211,67,3,2003
Packers,310,3377,10.9,32,42,7,66T,166,53.5,1,2003
Lions,319,2988,9.4,17,26,3,72T,152,47.6,2,2003
Broncos,280,3126,11.2,19,35,6,72,162,57.9,0,2003
Cowboys,294,3347,11.4,17,49,7,64,149,50.7,3,2003
Browns,313,3116,10,17,25,6,71T,153,48.9,1,2003
Bengals,324,3591,11.1,26,37,11,82T,181,55.9,2,2003
Bears,271,2905,10.7,12,37,5,61T,143,52.8,4,2003
Panthers,270,3238,12,19,46,9,67T,146,54.1,7,2003
Bills,293,3069,10.5,11,31,2,54T,150,51.2,4,2003
Redskins,288,2874,10,18,27,5,51,156,54.2,1,2004
Buccaneers,340,3773,11.1,24,50,10,75T,175,51.5,6,2004
Seahawks,304,3715,12.2,23,47,4,60,189,62.2,4,2004
49ers,325,3455,10.6,16,28,3,65,172,52.9,2,2004
Chargers,288,3506,12.2,29,45,9,79T,160,55.6,5,2004
Steelers,228,2970,13,20,47,7,58,147,64.5,5,2004
Cardinals,299,3202,10.7,14,38,4,48,152,50.8,4,2004
Eagles,336,4208,12.5,32,56,20,80,188,56,4,2004
Jets,282,3231,11.5,19,38,9,69T,163,57.8,3,2004
Giants,269,3097,11.5,12,35,10,62T,143,53.2,5,2004
Saints,309,3810,12.3,21,57,5,57,177,57.3,3,2004
Patriots,293,3750,12.8,29,53,10,50,193,65.9,4,2004
Vikings,380,4754,12.5,39,64,18,82T,225,59.2,3,2004
Dolphins,309,3391,11,19,38,5,76T,165,53.4,5,2004
