Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,Year
Chiefs,406,4721,11.6,30,65,8,49,247,60.8,3,64,2018
Jaguars,312,3354,10.8,17,37,6,78T,162,51.9,0,49,2018
Colts,384,4033,10.5,21,41,4,80T,203,52.9,7,60,2018
Texans,385,4477,11.6,28,55,13,83T,200,51.9,6,85,2018
Titans,337,3719,11,21,48,7,75T,182,54,4,63,2018
Packers,336,4074,12.1,30,54,7,75T,199,59.2,3,59,2018
Lions,323,3897,12.1,29,50,10,82,191,59.1,2,47,2018
Broncos,353,4240,12,26,56,9,97T,197,55.8,3,79,2018
Cowboys,367,3984,10.9,22,43,7,53T,193,52.6,5,64,2018
Browns,393,4370,11.1,21,51,8,67,216,55,8,75,2018
Bengals,389,4587,11.8,32,60,13,72T,221,56.8,3,72,2018
Bears,377,3854,10.2,22,39,9,75T,186,49.3,4,92,2018
Panthers,353,4062,11.5,32,51,12,75T,185,52.4,2,69,2018
Bills,313,3084,9.9,22,36,2,43,157,50.2,4,70,2018
Ravens,337,3651,10.8,21,44,7,64,174,51.6,4,87,2018
Falcons,398,4408,11.1,33,46,7,58,226,56.8,1,66,2018
Redskins,371,4093,11,35,56,9,53T,200,53.9,3,52,2019
Buccaneers,408,4647,11.4,30,57,14,75T,222,54.4,5,93,2019
Seahawks,383,4407,11.5,19,53,6,58T,224,58.5,7,72,2019
49ers,318,3074,9.7,23,34,5,88T,150,47.2,7,75,2019
Chargers,328,3394,10.3,21,41,6,70T,156,47.6,1,43,2019
Steelers,314,3455,11,23,43,6,58T,164,52.2,3,79,2019
Cardinals,421,4785,11.4,38,72,7,57,243,57.7,5,55,2019
Eagles,348,4136,11.9,27,49,15,75T,185,53.2,3,79,2019
Jets,363,4001,11,25,51,7,89T,187,51.5,2,64,2019
Giants,369,4471,12.1,30,67,15,62,211,57.2,3,64,2019
Saints,371,4201,11.3,27,54,13,75T,197,53.1,2,75,2019
Patriots,303,3214,10.6,13,42,5,64T,150,49.5,6,86,2019
Vikings,394,4099,10.4,23,47,7,60T,215,54.6,9,81,2019
Dolphins,344,4353,12.7,39,68,6,83T,214,62.2,2,65,2019
Raiders,337,4355,12.9,33,68,16,91T,201,59.6,2,65,2019
Rams,348,3928,11.3,23,40,6,67T,194,55.7,5,72,2019
Chiefs,352,3881,11,21,46,7,69,190,54,2,64,2019
Jaguars,327,4088,12.5,22,60,12,84T,193,59,2,60,2019
Colts,394,4231,10.7,29,50,9,61T,207,52.5,4,49,2019
Texans,375,4491,12,33,58,12,65T,220,58.7,1,74,2019
Titans,386,4356,11.3,25,55,8,63T,213,55.2,3,70,2019
Packers,326,4016,12.3,19,56,15,66,191,58.6,4,70,2019
Lions,381,4739,12.4,33,72,10,66,232,60.9,5,73,2019
Broncos,348,3822,11,19,46,11,75,175,50.3,5,68,2019
Cowboys,370,3879,10.5,21,55,5,92T,188,50.8,3,69,2019
Browns,318,3740,11.8,25,48,8,75T,184,57.9,3,62,2019
Bengals,308,4121,13.4,25,70,12,79T,183,59.4,4,56,2019
Bears,362,3796,10.5,17,40,7,75T,190,52.5,4,67,2019
Panthers,347,3997,11.5,21,53,7,93T,197,56.8,0,65,2019
Bills,348,3421,9.8,15,34,4,61T,169,48.6,9,80,2019
Ravens,318,3583,11.3,15,47,9,83T,163,51.3,6,69,2019
Falcons,351,4137,11.8,28,56,9,71T,192,54.7,3,55,2019
