Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,Sck,SckY,Year,Att_Rush,Rush Yds,YPC,Rush_TD,Rush 1st,Rush 1st%,Rush FUM,Yds/Rec,Rec_TD,Rec FUM,Scrm Plys,3rd_Conv%,4th Conv%,W,L,T,Win pct
Broncos,311,181,58.2,6.5,2019,8,19,60.8,0,0.0,24,200,1982,257,1018,4.0,6,0,0.0,0,11.2,8,0,592,,,2,7,0,0.2222222222222222
Cowboys,258,160,62.0,8.3,2150,16,14,86.5,0,0.0,25,264,1982,296,1313,4.4,10,0,0.0,0,13.4,16,0,579,,,6,3,0,0.6666666666666666
Browns,334,174,52.1,6.2,2057,9,16,60.2,0,0.0,26,212,1982,256,873,3.4,7,0,0.0,0,11.8,9,0,616,,,4,5,0,0.4444444444444444
Bengals,310,219,70.6,8.1,2501,12,9,95.4,0,0.0,27,162,1982,269,949,3.5,13,0,0.0,0,11.4,12,0,606,,,7,2,0,0.7777777777777778
Bears,262,141,53.8,6.7,1749,10,11,70.0,0,0.0,33,244,1982,276,988,3.6,5,0,0.0,0,12.4,10,0,571,,,3,6,0,0.3333333333333333
Bills,273,149,54.6,6.1,1671,8,17,56.9,0,0.0,12,115,1982,319,1371,4.3,9,0,0.0,0,11.2,8,0,604,,,4,5,0,0.4444444444444444
Falcons,275,176,64.0,7.2,1992,9,11,79.8,0,0.0,25,210,1982,310,1181,3.8,12,0,0.0,0,11.3,9,0,610,,,5,4,0,0.5555555555555556
Redskins,463,278,60.0,8.1,3765,29,11,97.0,0,0.0,35,251,1983,629,2625,4.2,30,0,0.0,0,13.5,29,0,1127,,,14,2,0,0.875
Buccaneers,528,300,56.8,6.6,3490,18,24,69.4,0,0.0,49,366,1983,428,1353,3.2,9,0,0.0,0,11.6,18,0,1005,,,2,14,0,0.125
Seahawks,449,251,55.9,7.4,3316,25,18,81.3,0,0.0,47,343,1983,546,2119,3.9,19,0,0.0,0,13.2,25,0,1042,,,9,7,0,0.5625
49ers,528,339,64.2,7.6,4021,27,12,94.9,0,0.0,33,224,1983,511,2257,4.4,17,0,0.0,0,11.9,27,0,1072,,,10,6,0,0.625
Chargers,635,369,58.1,7.7,4891,27,33,75.1,0,0.0,28,230,1983,423,1536,3.6,16,0,0.0,0,13.3,27,0,1086,,,6,10,0,0.375
Steelers,409,211,51.6,6.7,2754,15,23,61.9,0,0.0,52,350,1983,614,2610,4.3,17,0,0.0,0,13.1,15,0,1075,,,10,6,0,0.625
Cardinals,460,267,58.0,7.2,3309,29,21,82.4,0,0.0,59,441,1983,525,2277,4.3,15,0,0.0,0,12.4,29,0,1044,,,8,7,1,0.53125
Eagles,486,252,51.9,7.3,3532,22,18,75.2,0,0.0,57,415,1983,402,1417,3.5,5,0,0.0,0,14.0,22,0,945,,,5,11,0,0.3125
Jets,559,330,59.0,6.7,3742,21,28,70.8,0,0.0,43,317,1983,474,2068,4.4,11,0,0.0,0,11.3,21,0,1076,,,7,9,0,0.4375
